,FORESTS_LABEL,FORESTS_PROB,SLDA_LABEL,SLDA_PROB,MANUAL_CODE,CONSENSUS_CODE,CONSENSUS_AGREE,CONSENSUS_INCORRECT,PROBABILITY_CODE,PROBABILITY_INCORRECT
186,4,0.635,4,0.502537204,4,4,2,0,4,0
187,1,0.62,1,0.60250122,3,1,2,1,1,1
188,4,0.72,4,0.895816529,4,4,2,0,4,0
189,4,0.81,4,0.872435846,4,4,2,0,4,0
190,4,0.8,4,0.796676647,4,4,2,0,4,0
191,4,0.575,4,0.600637468,1,4,2,1,4,1
192,1,0.65,1,0.827405044,4,1,2,1,1,1
193,1,0.64,4,0.738186016,4,4,1,0,4,0
194,1,0.505,1,0.530641059,1,1,2,0,1,0
195,4,0.535,4,0.848484982,4,4,2,0,4,0
196,4,0.97,4,0.678640749,4,4,2,0,4,0
197,1,0.65,1,0.52727636,4,1,2,1,1,1
198,4,0.88,4,0.79893966,4,4,2,0,4,0
199,4,0.925,4,0.614896878,4,4,2,0,4,0
200,4,0.71,4,0.934879889,4,4,2,0,4,0
201,4,0.585,3,0.68775,4,3,1,1,3,1
202,4,0.685,1,0.769735038,4,1,1,1,1,1
203,4,0.71,4,0.647797947,4,4,2,0,4,0
204,4,0.865,4,0.665216968,4,4,2,0,4,0
205,4,0.965,4,0.951273735,4,4,2,0,4,0
206,4,0.91,4,0.900243948,4,4,2,0,4,0
207,4,0.675,4,0.496408369,1,4,2,1,4,1
208,4,0.74,4,0.66581134,1,4,2,1,4,1
209,4,0.57,1,0.52352557,4,4,1,0,4,0
210,4,0.685,4,0.854820301,4,4,2,0,4,0
211,4,0.69,4,0.567956798,4,4,2,0,4,0
212,4,0.855,4,0.772705037,1,4,2,1,4,1
213,4,0.515,4,0.798246946,4,4,2,0,4,0
214,4,1,4,0.658758022,4,4,2,0,4,0
215,4,0.935,4,0.595334095,4,4,2,0,4,0
216,4,0.855,4,0.616960114,1,4,2,1,4,1
217,4,0.515,4,0.639153586,4,4,2,0,4,0
218,4,0.64,4,0.634349853,1,4,2,1,4,1
219,4,0.755,1,0.581448739,4,4,1,0,4,0
220,4,0.86,4,0.780448881,4,4,2,0,4,0
221,4,0.985,4,0.862580044,4,4,2,0,4,0
222,4,0.545,1,0.549224975,4,1,1,1,1,1
223,4,0.91,4,0.510047844,4,4,2,0,4,0
224,4,0.845,4,0.829311496,4,4,2,0,4,0
225,4,0.605,4,0.726921309,1,4,2,1,4,1
226,1,0.545,4,0.874450774,4,4,1,0,4,0
227,4,0.84,1,0.709296905,1,4,1,1,4,1
228,1,0.47,3,0.940928354,4,3,1,1,3,1
229,4,0.715,1,0.597196401,4,4,1,0,4,0
230,4,0.94,4,0.867289365,4,4,2,0,4,0
231,4,0.83,4,0.609263993,4,4,2,0,4,0
232,4,0.92,4,0.817998277,4,4,2,0,4,0
233,1,0.51,4,0.752363274,4,4,1,0,4,0
234,4,0.765,4,0.627150501,4,4,2,0,4,0
235,1,0.655,1,0.571645713,4,1,2,1,1,1
236,4,0.845,4,0.879216641,4,4,2,0,4,0
